seat_code,state,seat,mp,current_party
P194,Sarawak,Petra Jaya,FADILLAH BIN YUSOF,Parti Pesaka Bumiputera Bersatu (PBB)
P195,Sarawak,Bandar Kuching,KELVIN YII LEE WUEN,DAP
P196,Sarawak,Stampin,CHONG CHIENG JEN,DAP
P197,Sarawak,Kota Samarahan,RUBIAH BINTI WANG,Parti Pesaka Bumiputera Bersatu (PBB)
P198,Sarawak,Puncak Borneo,WILLIE ANAK MONGIN,Parti Pesaka Bumiputera Bersatu (PBB)
P199,Sarawak,Serian,RICHARD RIOT ANAK JAEM,SUPP
P200,Sarawak,Batang Sadong,RODIYAH SAPIEE,Parti Pesaka Bumiputera Bersatu
P201,Sarawak,Batang Lupar,MOHAMMAD SHAFIZAN KEPLI,Parti Pesaka Bumiputera Bersatu
P202,Sarawak,Sri Aman,DORIS SOPHIA BRODI,Parti Pesaka Bumiputera Bersatu
P203,Sarawak,Lubok Antu,ROY ANGAU ANAK GINGKOI,Parti Rakyat Sarawak
P204,Sarawak,Betong,RICHARD RAPU,Parti Pesaka Bumiputera Bersatu
P205,Sarawak,Saratok,ALI ANAK BIJU,PBB
P206,Sarawak,Tanjong Manis,YUSUF BIN ABD WAHAB,PBB
P207,Sarawak,Igan,AHMAD JOHNIE BIN ZAWAWI,PBB
P208,Sarawak,Sarikei,HUANG TIONG SII,Sarawak United Peoples' Party
P209,Sarawak,Julau,LARRY SOON@LARRY SNG WEI SHIEN,Parti Bansa Dayak Sarawak
P210,Sarawak,Kanowit,AGO ANAK DAGANG,Parti Rakyat Sarawak
P211,Sarawak,Lanang,ALICE LAU KIONG YIENG,DAP
P212,Sarawak,Sibu,OSCAR LING CHAI YEW,DAP
P213,Sarawak,Mukah,HANIFAH HAJAR TAIB,PBB
P214,Sarawak,Selangau,EDWIN ANAK BANTA,Parti Pesaka Bumiputera Bersatu (PBB)
P215,Sarawak,Kapit,ALEXANDER NANTA LINGGI,PBB
P216,Sarawak,Hulu Rajang,WILSON UGAK ANAK KUMBONG,Parti Rakyat Sarawak (PRS)
P217,Sarawak,Bintulu,TIONG KING SING,Progressive Democratic Party (PDP)
P218,Sarawak,Sibuti,LUKANISMAN BIN AWANG SAUNI,Parti Pesaka Bumiputera Bersatu (PPB)
P219,Sarawak,Miri,CHIEW CHOON MAN,Parti Keadilan Rakyat (PKR)
P220,Sarawak,Baram,ANYI NGAU,PDP
P221,Sarawak,Limbang,HASBI BIN HABIBOLLAH,Parti Pesaka Bumiputera Bersatu (PBB)
P222,Sarawak,Lawas,HENRY SUM AGONG,Parti Pesaka Bumiputera Bersatu (PBB)
